name,energy flux (erg/cm2/s for 10-10000 keV),photon flux (ph/cm2/s for 10-10000 keV),t90 (s),best fit model,model parameters
bn140624423,2.6348880224558985e-06,12.733326517613111,0.096,comp,"[-0.7897792, 351.0793]"
bn170121067,2.134165979644497e-06,2.757163578156054,2.304,comp,"[-0.7465572, 1626.416]"
bn160826938,1.1660815977610424e-06,3.8075931905414757,1.792,plaw,[1.651295]
bn111207512,3.84486911496208e-06,4.074666876347628,0.768,plaw,[1.312151]
bn130804023,4.0124827738067466e-06,13.803027165547551,0.96,comp,"[-0.7317937, 511.2381]"
bn131020113,1.1567077744424124e-06,1.4498880373030307,2.24,plaw,[1.363794]
bn141031998,5.4233817831760525e-06,6.24717961880644,0.16,plaw,[1.337932]
bn160408268,5.03285068652707e-06,10.70797802880623,1.056,comp,"[-0.7176537, 890.0989]"
bn101129652,1.1604226984839183e-05,10.525864603805966,0.384,comp,"[-0.07567174, 1404.938]"
bn130722990,2.362559433815048e-07,3.247751028360847,2.304,comp,"[-0.9295732, 84.58176]"
bn141202470,3.946143151347294e-06,8.017082139468652,1.408,comp,"[-0.2250504, 658.6006]"
bn180131528,4.281729559665601e-06,3.916578655337399,0.96,plaw,[1.265828]
bn090108322,5.770314008907182e-06,7.2445309528555795,0.192,plaw,[1.364285]
bn110605780,5.68936457390035e-07,3.9328347299752298,1.536,comp,"[-0.765664, 216.8002]"
bn150901924,4.514034336882669e-06,6.3923584800021995,0.256,plaw,[1.400751]
bn140329272,2.197547559047359e-06,7.258802451722647,0.064,comp,"[-0.2441292, 395.5108]"
bn161230298,2.350650721916021e-06,7.39901182577629,0.448,comp,"[-0.6488175, 531.7714]"
bn090909854,3.842871166682418e-06,6.234451172915105,1.152,plaw,[1.441548]
bn141213300,8.743770823151358e-07,9.692208284925536,0.768,comp,"[-0.9211113, 118.9579]"
bn081229187,1.5201249594567954e-06,4.279937855515393,0.768,comp,"[-0.4205929, 516.9091]"
bn150601904,4.048995190672093e-06,3.1190147633179652,0.768,plaw,[1.210097]
bn160406503,3.99717614814262e-06,10.251640772232028,0.432,comp,"[-0.7133458, 713.2415]"
bn120509619,6.485061898579682e-06,4.134344336501147,0.704,plaw,[1.145971]
bn091223191,3.7442125949076486e-06,4.0510235179926,0.576,plaw,[1.318583]
